City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,longyearbyen,78.2186,15.6401,7.11,91,100,2.4,SJ,1719312636
1,ulladulla,-35.35,150.4667,10.83,71,7,2.42,AU,1719312747
2,port-aux-francais,-49.35,70.2167,4.27,98,100,6.7,TF,1719312749
3,emerald,-23.5333,148.1667,19.08,64,92,5.64,AU,1719312750
4,qaqortoq,60.7167,-46.0333,2.92,87,94,1.63,GL,1719312752
5,albany,42.6001,-73.9662,17.58,85,0,0.89,US,1719312753
6,ilulissat,69.2167,-51.1,1.5,97,100,2.47,GL,1719312755
7,masterton,-40.9597,175.6575,10.06,93,100,3.66,NZ,1719312756
8,litija,46.0586,14.8225,25.34,69,69,3.97,SI,1719312758
9,olonkinbyen,70.9221,-8.7187,0.85,88,100,6.9,SJ,1719312759
10,saldanha,-33.0117,17.9442,14.91,73,0,5.55,ZA,1719312761
11,ushuaia,-54.8,-68.3,-2.66,97,100,2.09,AR,1719312762
12,ta'if,21.2703,40.4158,33.78,10,82,4.41,SA,1719312764
13,talnakh,69.4865,88.3972,22.27,57,100,3.51,RU,1719312766
14,portland,45.5234,-122.6762,14.58,84,0,1.79,US,1719312171
15,queenstown,-31.8976,26.8753,16.94,38,0,1.06,ZA,1719312769
16,hamilton,39.1834,-84.5333,21.11,82,3,2.04,US,1719312770
17,lebu,-37.6167,-73.65,4.39,81,1,3.1,CL,1719312772
18,punta arenas,-53.15,-70.9167,0.82,89,92,3.31,CL,1719312650
19,thompson,55.7435,-97.8558,7.61,77,100,4.88,CA,1719312774
20,tshikapa,-6.4167,20.8,35.05,17,31,2.42,CD,1719312776
21,kingston,17.997,-76.7936,25.65,89,41,1.32,JM,1719312777
22,adamstown,-25.066,-130.1015,22.51,88,34,6.71,PN,1719312779
23,natal,-5.795,-35.2094,25.87,83,37,3.79,BR,1719312598
24,tolanaro,-25.0319,46.9987,20.44,81,100,5.68,MG,1719312782
25,bibbiena,43.6965,11.8135,25.5,51,51,2.1,IT,1719312784
26,al kharijah,25.4514,30.5464,41.87,9,0,3.91,EG,1719312785
27,tuban,-6.8976,112.0649,26.54,85,98,2.41,ID,1719312787
28,aykhal,66.0,111.5,20.78,55,98,7.7,RU,1719312788
29,anadyr,64.75,177.4833,3.69,88,100,5.99,RU,1719312790
30,puerto baquerizo moreno,-0.9,-89.6,21.29,84,82,4.76,EC,1719312625
31,salmon arm,50.6998,-119.3024,7.29,94,8,1.02,CA,1719312793
32,blackmans bay,-43.0167,147.3167,8.18,91,100,0.45,AU,1719312794
33,new norfolk,-42.7826,147.0587,8.84,96,83,1.0,AU,1719312796
34,grytviken,-54.2811,-36.5092,-5.84,76,24,3.19,GS,1719312797
35,angaur state,6.906,134.13,29.26,74,89,5.98,PW,1719312800
36,avarua,-21.2078,-159.775,21.54,65,100,8.37,CK,1719312802
37,usogorsk,63.4106,48.6872,11.38,78,100,5.29,RU,1719312803
38,kantagi,43.5264,68.5775,32.61,14,0,2.53,KZ,1719312805
39,kamiiso,41.8167,140.65,15.16,92,70,1.9,JP,1719312806
40,flying fish cove,-10.4217,105.6791,26.22,74,82,6.95,CX,1719312808
41,polyarnyy,69.1989,33.4478,10.49,83,100,2.7,RU,1719312809
42,waiuku,-37.25,174.75,15.14,81,99,7.06,NZ,1719312811
43,hithadhoo,-0.6,73.0833,28.94,75,94,3.88,MV,1719312812
44,invercargill,-46.4,168.35,7.23,98,100,0.45,NZ,1719312632
45,la'ie,21.6477,-157.9253,24.69,77,58,4.92,US,1719312817
46,vadso,70.0744,29.7487,8.91,87,100,3.96,NO,1719312818
47,carnarvon,-24.8667,113.6333,19.19,60,33,4.95,AU,1719312820
48,margaret river,-33.95,115.0667,12.59,64,47,4.16,AU,1719312764
49,tiksi,71.6872,128.8694,2.39,83,90,1.95,RU,1719312823
50,hawaiian paradise park,19.5933,-154.9731,21.13,85,21,4.62,US,1719312824
51,kishtwar,33.3167,75.7667,32.71,27,5,3.14,IN,1719312826
52,punta del este,-34.9667,-54.95,8.31,69,100,2.68,UY,1719312827
53,utrik,11.2278,169.8474,28.06,81,100,8.77,MH,1719312829
54,kangding,30.0513,101.9603,16.17,96,100,2.23,CN,1719312830
55,teknaf,20.8624,92.3058,29.47,76,100,2.11,BD,1719312832
56,plessisville,46.2186,-71.762,14.71,89,0,2.09,CA,1719312833
57,cidreira,-30.1811,-50.2056,12.37,67,61,3.06,BR,1719312835
58,san antonio,29.4241,-98.4936,27.0,89,2,1.89,US,1719312836
59,papatowai,-46.5619,169.4708,9.65,97,100,1.36,NZ,1719312838
60,shizunai-furukawacho,42.3339,142.3669,15.62,90,75,5.54,JP,1719312839
61,slave lake,55.2834,-114.769,10.32,100,100,2.54,CA,1719312841
62,edinburgh of the seven seas,-37.0676,-12.3116,15.94,87,84,14.43,SH,1719312843
63,waitangi,-43.9535,-176.5597,10.46,83,100,4.92,NZ,1719312844
64,puerto natales,-51.7236,-72.4875,-1.8,95,99,1.6,CL,1719312846
65,bethel,41.3712,-73.414,20.98,81,0,0.45,US,1719312847
66,murud,18.3258,72.965,28.23,83,91,8.12,IN,1719312849
67,shache,38.4167,77.2406,35.53,11,56,0.87,CN,1719312850
68,aasiaat,68.7098,-52.8699,2.51,89,100,3.05,GL,1719312852
69,wuwei,37.9281,102.6414,28.22,28,83,2.64,CN,1719312855
70,nagqu,31.5,92.0,6.95,85,100,6.0,CN,1719312856
71,ust-nera,64.5667,143.2,19.1,50,100,2.22,RU,1719312858
72,atafu village,-8.5421,-172.5159,28.18,79,100,9.01,TK,1719312859
73,boa vista,2.8197,-60.6733,22.95,94,83,0.74,BR,1719312861
74,yellowknife,62.456,-114.3525,10.79,77,8,0.89,CA,1719312862
75,bredasdorp,-34.5322,20.0403,16.31,64,16,3.93,ZA,1719312864
76,uturoa,-16.7333,-151.4333,24.69,77,97,9.66,PF,1719312865
77,tsiombe,-25.3,45.4833,23.46,62,85,7.54,MG,1719312867
78,boiro,42.65,-8.9,27.27,84,88,3.08,ES,1719312868
79,ad dabbah,18.05,30.95,43.29,5,21,2.53,SD,1719312870
80,lodja,-3.4833,23.4333,36.12,20,18,1.95,CD,1719312871
81,manjeshvar,12.7,74.8833,27.8,86,98,8.03,IN,1719312873
82,praia da vitoria,38.7333,-27.0667,22.09,72,100,3.91,PT,1719312875
83,houmt el souk,33.8758,10.8575,24.5,72,1,9.76,TN,1719312876
84,portovelo,-3.7167,-79.6167,19.76,79,80,1.35,EC,1719312877
85,petropavlovsk-kamchatsky,53.0452,158.6483,7.55,94,91,0.73,RU,1719312879
86,arkhangel'sk,64.5401,40.5433,19.33,43,6,3.85,RU,1719312849
87,college,64.8569,-147.8028,15.44,79,85,0.67,US,1719312790
88,chaman,30.9236,66.4512,35.19,10,0,7.79,PK,1719312883
89,iqaluit,63.7506,-68.5145,1.32,92,100,2.46,CA,1719312641
90,haiku-pauwela,20.9219,-156.3051,22.34,88,52,3.13,US,1719312886
91,tadine,-21.55,167.8833,22.5,64,99,5.23,NC,1719312888
92,goundam,16.4145,-3.6708,37.06,30,99,7.4,ML,1719312890
93,dudinka,69.4058,86.1778,24.24,52,76,5.74,RU,1719312891
94,stanley,54.868,-1.6985,23.43,67,33,0.95,GB,1719312893
95,saint-philippe,-21.3585,55.7679,21.17,80,52,6.95,RE,1719312894
96,vorkuta,67.5,64.0,23.01,63,82,4.51,RU,1719312896
97,jamestown,42.097,-79.2353,15.86,93,5,0.45,US,1719312836
98,sandnessjoen,66.0217,12.6316,13.66,82,98,9.52,NO,1719312899
99,georgetown,5.4112,100.3354,29.12,76,100,1.51,MY,1719312900
100,swakopmund,-22.6833,14.5333,22.21,59,0,1.34,NA,1719312902
101,bismarck,46.8083,-100.7837,15.92,82,2,0.45,US,1719312904
102,san juan de miraflores,-12.1629,-76.9635,15.65,90,81,1.82,PE,1719312906
103,bilibino,68.0546,166.4372,9.08,50,11,1.93,RU,1719312908
104,mount isa,-20.7333,139.5,19.99,29,56,2.3,AU,1719312911
105,mwene-ditu,-7.0,23.45,29.54,23,36,3.74,CD,1719312912
106,fangshan,39.6983,115.9925,33.89,19,2,2.19,CN,1719312914
107,san patricio,28.017,-97.5169,28.81,91,3,2.54,US,1719312916
108,touros,-5.1989,-35.4608,25.45,85,41,4.43,BR,1719312917
109,porto novo,6.4965,2.6036,28.76,73,93,3.9,BJ,1719312919
110,oromocto,45.8351,-66.4792,14.61,94,100,3.23,CA,1719312920
111,khandyga,62.6667,135.6,21.59,60,84,2.05,RU,1719312922
112,miraflores de la sierra,40.8155,-3.7621,26.68,48,4,2.91,ES,1719312923
113,mugia,43.1041,-9.2179,19.53,89,92,5.3,ES,1719312925
114,puerto ayora,-0.7393,-90.3518,20.31,99,92,3.63,EC,1719312926
115,chunskiy,56.0815,99.6342,22.14,43,88,1.75,RU,1719312928
116,kedrovyy,56.1667,91.8167,25.36,44,5,3.84,RU,1719312930
117,quartu sant'elena,39.2419,9.1839,27.24,55,37,2.68,IT,1719312932
118,qamdo,31.1667,97.2333,16.58,50,96,2.86,CN,1719312933
119,aleg,17.0481,-13.9209,35.17,23,2,4.71,MR,1719312935
